nohup: ignoring input
Watching for file changes with StatReloader
Not Found: /
[03/Feb/2026 05:22:44] "GET / HTTP/1.1" 404 2789
Not Found: /favicon.ico
[03/Feb/2026 05:22:47] "GET /favicon.ico HTTP/1.1" 404 2840
[03/Feb/2026 05:23:55] "POST /api/users/login/ HTTP/1.1" 200 109
[03/Feb/2026 05:24:40] "OPTIONS /api/users/login/ HTTP/1.1" 200 0
[03/Feb/2026 05:24:41] "POST /api/users/login/ HTTP/1.1" 200 109
[03/Feb/2026 05:24:41] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:24:41] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:24:41] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:24:41] "GET /api/users/ HTTP/1.1" 200 154
[03/Feb/2026 05:24:41] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:24:41] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:24:41] "GET /api/users/ HTTP/1.1" 200 154
[03/Feb/2026 05:24:41] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:24:49] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:24:49] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:24:51] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:24:51] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:24:51] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:24:51] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:24:52] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:24:52] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:24:53] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:24:53] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:24:54] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:24:54] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:24:54] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:24:54] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:24:55] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:24:55] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:24:55] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:24:55] "GET /api/users/ HTTP/1.1" 200 154
[03/Feb/2026 05:24:55] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:24:55] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:24:55] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:24:55] "GET /api/users/ HTTP/1.1" 200 154
[03/Feb/2026 05:25:45] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:25:45] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:25:45] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:25:45] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:25:45] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:25:45] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:25:48] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:25:48] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:25:48] "GET /api/users/ HTTP/1.1" 200 154
[03/Feb/2026 05:25:48] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:25:48] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:25:48] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:25:48] "GET /api/users/ HTTP/1.1" 200 154
[03/Feb/2026 05:25:48] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:26:16] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:26:16] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:26:18] "GET /api/events/ HTTP/1.1" 200 13
